Sample,Site,Island,Altitude,Layer,Vegetation,Temperature,Moisture,pH,N,C,Salinity,Latitude,Longitude,Date,logTemp,logSal,logN,logMoist,logC,Observed,Shannon,Evenness,PD
D7,Wolf peak Ridge mustard,Axel Heiberg,454,Upper,0,8.7,1.946,4.29,0,0.467,0.29,79.422,-90.867,16.07.19,2.45958884180371,-1.02165124753198,-6.90775527898214,0.930193637043147,-0.670407693590456,1082,5.8094011063336,0.831510176005276,183.3272165495
D8,Wolf peak Ridge mustard,Axel Heiberg,454,Lower,0,8.1,2.347,3.98,0,0.089,0.14,79.422,-90.867,16.07.19,2.40694510831829,-1.56064774826467,-6.90775527898214,1.07704811075227,-2.01365380114183,678,5.62878756821675,0.863423898801811,66.4155396545
D9,Wolf peak Ridge ketchup,Axel Heiberg,454,Upper,0,9.4,6.117,3.66,0,0.818,0.29,79.422,-90.867,16.07.19,2.51769647261099,-1.02165124753198,-6.90775527898214,1.90300264804404,-0.147920130076622,1325,6.09383897105158,0.847641784526032,176.8440691385
E1,Wolf peak Ridge pepper,Axel Heiberg,454,Upper,0,10,3.901,4.47,0.082,4.982,0.14,79.422,-90.867,16.07.19,2.56494935746154,-1.56064774826467,-2.48891467118554,1.50185270175416,1.61472391686334,1596,5.8662376336677,0.795394466339544,222.9352955005
E10,Colour lake white soil,Axel Heiberg,200,Lower,1,10.5,22.021,3.23,0.028,0.901,0.57,79.416,-90.755,17.07.19,2.60268968544438,-0.44628710262842,-3.54045944899566,3.11839228628988,-0.0560413908836249,1837,6.54453561885434,0.870760005190659,207.5375709345
E11,White glacier side,Axel Heiberg,162,Upper,0,14.7,11.053,6.02,0,0.256,59.48,79.436,-90.664,18.07.19,2.87356463957978,4.08681629580131,-6.90775527898214,2.45461924884954,-1.20230752500687,169,4.07468104051127,0.794300485632955,64.0554526315
E12,White glacier side,Axel Heiberg,162,Lower,0,8,10.422,5.53,0,0.629,5.59,79.436,-90.664,18.07.19,2.39789527279837,1.73342389221509,-6.90775527898214,2.39889477313145,-0.395267283131718,263,4.58925246081504,0.823604737829083,43.6631657035
E2,Wolf peak Ridge pepper,Axel Heiberg,454,Lower,0,7.55,5.92,6.3,0.19,11.285,0.29,79.422,-90.867,16.07.19,2.35612585992208,-1.02165124753198,-1.65548185093551,1.87318583459025,2.42740994343948,2328,6.56704880834992,0.847058948680131,253.795282429
E3,Polygon trough,Axel Heiberg,198,Upper,1,12.3,29.793,3.95,0.322,8.526,11.32,79.416,-90.764,17.07.19,2.72785282839839,2.43273577745909,-1.13010295575948,3.41385032778547,2.14832607396497,2089,6.62155272463988,0.866191907449826,278.5697829155
E4,Polygon trough,Axel Heiberg,198,Lower,1,11.2,17.197,4.71,0.168,4.354,0.72,79.416,-90.764,17.07.19,2.65324196460721,-0.23572233352107,-1.77785656405906,2.87841163097745,1.48126357371059,2127,6.71229720695982,0.87599678965626,231.4140032925
E5,Polygon side angle,Axel Heiberg,198,Upper,1,12.6,15.756,4.04,0.287,5.238,6.88,79.416,-90.764,17.07.19,2.74727091425549,1.9387416595767,-1.24479479884619,2.79392204017617,1.66439947050807,2985,7.26137980030753,0.907518761118499,313.6898192355
E6,Polygon side angle,Axel Heiberg,198,Lower,1,11.25,12.949,3.51,0.116,1.761,1.15,79.416,-90.764,17.07.19,2.65675690671466,0.198850858745165,-2.14558134418438,2.60550054608642,0.590837561735375,1988,6.52491272639007,0.859119427462597,237.9171756895
E7,Colour lake soil,Axel Heiberg,199,Upper,0,13.3,11.795,3.68,0.063,1.137,6.31,79.416,-90.756,17.07.19,2.79116510781272,1.8531680973567,-2.74887219562247,2.51640531684737,0.166784817644825,2030,6.59390596721399,0.865820228633363,230.9408765675
E8,Colour lake soil,Axel Heiberg,199,Lower,0,11.5,10.039,4.65,0.011,0.903,0.57,79.416,-90.756,17.07.19,2.67414864942653,-0.44628710262842,-4.42284862919414,2.36349202789757,-0.0539283420255556,1521,6.23059614709339,0.850346841259744,175.3085305305
E9,Colour lake white soil,Axel Heiberg,200,Upper,1,12,46.719,2.71,0.244,6.832,8.03,79.416,-90.755,17.07.19,2.70805020110221,2.09186406167839,-1.40649706843741,3.85667941438887,1.92810980157263,1221,6.02087545271456,0.84712466907265,187.4577104755
F1,White glacier side,Axel Heiberg,162,Upper,0,13.4,9.71,5.62,0,0.158,80.41,79.436,-90.664,18.07.19,2.79728133483015,4.38800870635143,-6.90775527898214,2.33204680314366,-1.59701539243554,302,4.27554893673008,0.748726658045196,58.0076930395
F10,Eureka,Ellesmere,72,Lower,0,9.05,15.195,5.61,0.081,2.953,2.58,79.998,-85.845,19.07.19,2.48906465993666,0.974559639998131,-2.50103603171788,2.75899676872031,1.09777860791953,603,5.60907702665196,0.876155822433857,97.8168403585
F11,Resolute,Cornwallis,33,Upper,0,6.3,14.23,6.08,0.002,8.94,0.86,74.704,-94.973,20.07.19,2.23001440015921,-0.0725706928348355,-5.80914299031403,2.69591014120804,2.19550087038437,2544,7.19660396318888,0.917759415524111,341.7894734365
F12,Resolute,Cornwallis,33,Lower,0,6,11.942,5.85,0,7.691,0.43,74.704,-94.973,20.07.19,2.19722457733622,-0.693147180559945,-6.90775527898214,2.52820557418315,2.04582012317699,781,6.09937713151808,0.915743309594651,103.9601347345
F2,White glacier side,Axel Heiberg,162,Lower,0,8.9,8.451,6.07,0,0.348,7.17,79.436,-90.664,18.07.19,2.47653840011748,1.97962120639763,-6.90775527898214,2.20165917440409,-0.935218741759674,230,4.23739796262736,0.779208562786926,51.8226970945
F3,Ravin soil,Axel Heiberg,111,Upper,1,21.2,18.24,6.11,0.041,1.665,1.29,79.422,-90.692,18.07.19,3.18635263316264,0.307484699747961,-3.17008566069877,2.93539823451429,0.536200930097219,3462,7.41208474678703,0.909502695608412,384.2284413555
F4,Ravin soil,Axel Heiberg,111,Lower,1,15.7,5.013,5.06,0.013,1.201,0.57,79.422,-90.692,18.07.19,2.92852352386054,-0.44628710262842,-4.26869794936688,1.72312367683792,0.219537055720098,2618,7.21954620174645,0.917330873434095,306.3964686215
F5,Pee spot,Axel Heiberg,191,Upper,2,9.4,6.86,5.38,0.375,6.216,1.15,79.415,-90.746,18.07.19,2.51769647261099,0.198850858745165,-0.978166135592243,2.00807979519414,1.83426005412687,3087,7.36616576120458,0.916765027152219,391.5325388265
F6,Pee spot,Axel Heiberg,191,Lower,2,8.8,8.481,5.32,0,2.723,0.72,79.415,-90.746,18.07.19,2.46809953147162,-0.23572233352107,-6.90775527898214,2.20497226412705,1.01794438560065,1911,7.02193601370152,0.929395239780641,188.4283317835
F7,Gypsum Hill summit,Axel Heiberg,166,Upper,0,10.6,1.186,5.01,0,2.139,12.9,79.412,-90.741,18.07.19,2.61006979274201,2.56263899832835,-6.90775527898214,0.573800422927379,0.780929093943479,2639,6.88933299216448,0.874485548697276,226.1641880745
F8,Gypsum Hill summit,Axel Heiberg,166,Lower,0,10.65,3.259,4.86,0,1.254,16.48,79.412,-90.741,18.07.19,2.61373952163097,2.80638610182307,-6.90775527898214,1.34755353280346,0.261209752120666,954,5.85107648943836,0.852844093464095,123.1889222875
F9,Eureka,Ellesmere,72,Upper,0,15.3,4.828,5.31,0.176,2.332,11.47,79.998,-85.845,19.07.19,2.90690105984738,2.44581926107995,-1.73160554640831,1.68954215667576,0.865628817071927,530,4.92315095940458,0.784831418544783,55.2716392585
G1,Pond Inlet,Baffin,10,Upper,1,19,16.141,5.44,0,1.444,1.15,72.696,-77.953,21.07.19,3.09104245335832,0.198850858745165,-6.90775527898214,2.81720351499873,0.397768901473694,4529,7.47769558381249,0.888271298688735,465.4231901585
G2,Pond Inlet,Baffin,10,Lower,1,11.3,13.247,5.92,0,1.031,1.72,72.696,-77.953,21.07.19,2.66025953726586,0.582215619852664,-6.90775527898214,2.62727389107492,0.0727856697256476,3490,7.3848490916174,0.905265945584688,296.5952417675
G3,Iqaluit,Baffin,16,Upper,2,10.7,33.552,3.16,0.673,16.644,0.43,63.744,-68.563,22.07.19,2.61739583283408,-0.693147180559945,-0.39452516806983,3.53049900809139,2.81471985945866,5588,7.55312337105265,0.875381733532233,599.8026717825
G4,Iqaluit,Baffin,16,Lower,2,8.1,40.026,3.25,0.473,8.6,0.57,63.744,-68.563,22.07.19,2.40694510831829,-0.44628710262842,-0.746547957287061,3.70413745650292,2.15692328056269,4022,7.2261363315923,0.870667658572416,465.6751760415
G8,Qikiqtarjuaq,Broughton,98,Upper,2,16.3,24.371,3.45,0.096,3.049,35.4,67.553,-64.023,25.08.19,2.96010509591084,3.56868726878553,-2.33304430047875,3.21727454350123,1.12930313598891,649,5.59734373413464,0.864396864119316,116.1386698045
G9,Qikiqtarjuaq,Broughton,98,Lower,2,10.3,8.234,5.02,0,0.182,0.86,67.553,-64.023,25.08.19,2.58776403522771,-0.0725706928348355,-6.90775527898214,2.17736194823997,-1.48501033405905,283,3.81660279268602,0.676049719691689,56.7918566365
